supplier_clean,amount,rowcount
5 Environmental Ltd,10055,4
Cygnet Hospital - Godden Green,10051,1
St Lukes Hospice,10050,2
Third Space Chelsea,10050,1
Darryl DBT Services Ltd,10045,10
Diana Hudson,10044.54,19
London Environmental Health Practioners,10042,11
The Institution Of Lighting Professionals,10040,4
Soteria Auto Doors,10040,2
Diamante Custom Cleaning Ltd,10039,28
West Gate Managed Solutions,10038.94,6
Mr Abdi Taher,10038.73,3
Doverstone Law Ltd,10038.04,2
Harrow Security Ltd,10037.8,9
Scutum South East Ltd,10036.35,7
Sloane Stanley EST,10036.05,5
Land Assembly Services Ltd,10034,2
Queens Park Medical Practice,10034,9
West Sussex County Council,10033.77,5
Caveat Solicitors Ltd,10032.5,8
Holy Trinity Church,10031.75,6
Woodlawn Medical Centre,10029.46,8
27a Morland Avenue Parkhill Support Services Ltd,10029.2,2
Hello Neighbour Ltd,10025.48,3
Agnes Court,10023.05,2
Majestic Properties And Estates Ltd,10023,2
Perry Scott TAS Perry Scott Memorials,10020,4
Doctor Watson Ltd,10020,19
Sun Chemical Ltd,10020,1
The Barcode Warehouse Ltd,10019.23,8
Anglebond Ltd,10019.06,9
Jubilee Seeds & Turf Ltd,10016.76,6
Eminent Support Services Ltd,10016.68,9
Westminster Street Pastors,10016.67,3
Mr William Rego,10016.18,4
The Canterbury Academy Trust,10016,11
Shireen Clarke TAS Your Family Services,10014,6
Help2support Ltd,10012.58,8
The North London Network Ltd,10010.14,2
Belreel Ltd,10010.1,4
Corner Water Consulting Ltd,10010,3
Preparerobo Ltd,10008.85,11
London Development Events Ltd,10001.8,13
Barrettine Group,10000.84,3
MJ Hudson Investment Advisers Ltd,10000,2
Poplar Technologies Ltd,10000,1
P & R Bhakoo,10000,4
London School Of Architects,10000,1
Elizabeth Early Years Ltd,10000,8
Eliot Bank Junior & Infants School,10000,1
St Mary's Centre Chessington,10000,1
Maxfield Investments Ltd,10000,2
Change In Youth CIC,10000,1
Ralli Ltd,10000,1
Wsscu Ltd,10000,2
Drug Free World Africa UK,10000,3
London Business Forum,10000,2
The Polar Bear Lab Ltd,10000,1
Brent Mindltd,10000,1
Westbury Urban Gardeners Foundation,10000,1
DJH Associates,10000,1
Don't Sleep Community CIC,10000,1
Yoga House London Ltd,10000,1
Advice Support Knowledge Information,10000,1
Stonebridge Boxing Club,10000,1
34bus CIC,10000,1
Malden & Coombe Residents Association Ltd,10000,2
Timegivers,10000,2
Arling Close,10000,1
Bostall Heath Bowls Club,10000,1
Hackney Doorways,10000,1
Martin Willis,10000,6
Mitre Construction Company Limtied,10000,1
Kemi Konstantinova SEN Unity,10000,1
TMR Studios Ltd,10000,2
Entelechy Consulting Ltd,10000,1
Ambassador Theatre Group Ltd,10000,1
W S J L Ltd,10000,1
Kingdom Legacy Investment Ltd,10000,2
Fany,10000,1
Notting Hill Therapy Clin,10000,2
GM Developments Ltd,10000,1
Make IT Ealing Ltd,10000,2
Assoc Of Educ.psychologist,10000,13
Fibre Lab Collective Ltd,10000,1
Regenease Consulting Ltd,10000,2
Victoria Rowsell Artist Management Ltd,10000,1
The Maamulaha Network,10000,2
Dash Arts Ltd,10000,2
Homeless Action In Barnet Ltd,10000,1
City Parent Carer Forum,10000,1
Diet Paratha Ltd,10000,2
Kensington & Chelsea Chamber Of Commerce,10000,2
Leadability Ltd,10000,2
London Youth Choirs,10000,5
London Parks And Green Spaces,10000,2
Sew London Project,10000,1
ABS Property Maintenance,10000,2
Raja-helm Ltd,10000,1
National Autism Society - Lambeth,10000,1
Thorpe Wilson Solicitors Client Account,10000,1
Atanda Solicitors,10000,1
Shanna Marrinan,10000,1
Newham & UEL Swimming Club,10000,7
Newham Chamber Of Commerce,10000,1
Tavernor Consultancy Ltd,10000,1
Constantine Varnavides,10000,1
Boltan Hair Beauty And Tanning Salon Ltd,10000,1
Sutton Opportunity Preschool,10000,1
Terryberry Ltd,10000,1
Black Cowboy Coffee Ltd,10000,1
Reaching All People Trust,10000,3
Electralink Ltd,10000,2
Westmore Property Management Ltd,10000,2
HIV I-base,10000,1
New World Mission Association UK,10000,2
Armed Forces Day Woolwich,10000,1
Affirm Arts CIC,10000,2
Chase Gardens Ltd,10000,1
Aaina Rania Investments Ltd,10000,1
Acton Baptist Church,10000,1
Sdna Ltd,10000,4
The Magpie Project,10000,3
Deaf Ethnic Women Association,10000,1
Wondering Minds CIC,10000,1
Just FAB Kitchen Ltd,10000,1
Becontree Heath Islamic Society,10000,1
Darul Noor Islamic Centre,10000,1
Business Launchpad Ltd,10000,2
Beyond Braidz CIC,10000,4
City Fox Ltd,10000,1
Cosek Education Ltd,10000,3
Mr Ben Collins,10000,1
White City Theatre Project CIO,10000,2
Free The Forgotten,10000,1
Stepney Shahjalal Mosque & Cultural Centre,10000,2
Revival House,10000,1
Turtle Key Arts Trust,10000,1
Gordonbrock Junior School,10000,1
Kinde Group Ltd,10000,3
NP Training & Consultancy Services Ltd,10000,2
PCC Of Becontree South,10000,1
Third Sector Together North West London,10000,1
Post Properties 2 Ltd,10000,4
Blackbell,10000,20
Universal Law Ltd,10000,1
Life Brooks International,10000,1
Redo Real Estate Ltd,10000,1
The Saddlers Company Charitable Fund,10000,1
House Four Active Ltd,10000,1
Oxleas Wood Day Nursery Ltd,10000,1
Solve The School RUN CIO,10000,1
Helping Hands Collective CIC,10000,1
Bax Thomas French Ltd,10000,1
Global Counsel Ltd,10000,1
Getjar Ltd,10000,1
The Bridge At Waterloo,10000,1
NOV Way CIC,10000,1
House Of Grey Ltd,10000,1
Baps Charities,10000,1
Abney Public Hall Ltd,10000,4
Virtualstock Ltd,10000,4
Etra Evelyn Tenants And Residents Association,10000,2
Haymans Solicitors,10000,1
New Cross Fire Foundation,10000,1
Breakthefast Ltd,10000,1
The Muslim Golf Association CIC,10000,1
Poplar Shajalal Masjid,10000,1
Urban Flyers CIC,10000,1
The Future Of Sustainable Data Alliance Ltd,10000,1
The Honeypot Children's Charit,10000,1
Amici Integrated Theatre Company,10000,1
Exam Success Educational Centre Ltd,10000,1
Survivors Of Bereavement By Suicide,10000,1
Vistry Homes & Countryside Properties Ltd,10000,1
Restore Pilates Ltd,10000,1
Crab Race Ltd,10000,1
Ealing Allotments Partnership,10000,1
Pinewood Technologies Plc,10000,5
Your Room For Thoughts Ltd,10000,1
Vision Construction Ltd,10000,1
De Havilland Information Services L,10000,1
Katie Durrell,10000,1
Elevate Her UK,10000,1
Samaritans-national Suicide Prevention Alliance,10000,1
Bonnington Centre Community Association,10000,2
BIS Web,10000,1
Giaan Properties Ltd,10000,2
Streetdoctors,10000,7
Our Community Cares,10000,1
Base 13 Fitness Ltd,10000,1
Sound Diplomacy Ltd,10000,1
Nowness Ltd,10000,2
City Uared Consulting UK Ltd,10000,2
Amici Dance Theatre Company,10000,1
Hartlepower CIC,10000,11
St George The Martyr With St Alphege & St Jude,10000,1
Wakuda Ltd,10000,1
Cycling Project For The North West,10000,1
Cycling Projects Ltd,10000,1
Whiteside Elliott Design Ltd,10000,1
Fink's Salt And Sweet LLP,10000,1
Cigarette Records,10000,1
Everred Estates Ltd,10000,2
Blackett Hart & Pratt LLP,10000,1
Darnely House - DMC Consulting,10000,2
Lambeth Larder Community Food Resource CIC,10000,1
Fazamnesty UK CIC,10000,2
Solaris2 Media Ltd,10000,2
Firstcar Ltd,10000,8
The Hill Group,10000,1
Creative Sparkworks,10000,4
Mark Saunders Spectacle Media,10000,1
Sophie Allen Safeguarding Ltd,10000,10
Rosiemarie Harris - Mindfulness,10000,3
Alexander Braddell Associates Ltd,10000,1
Jerk Off BBQ Original London Ltd,10000,1
V22 Foundation,10000,1
24 Hearts CIC,10000,2
KA Contractors Ltd,10000,2
St Luke's Downham,10000,2
Koestler Trust,10000,1
RVF Academy CIC,10000,2
Harjoh Ltd,10000,1
Charlton Triangle Kids Club,10000,1
Hyde Charitable Trust,10000,1
James Hayward Ltd,10000,2
Copef Training Skills,10000,1
Nascent RAE Consultancy,10000,1
Saul Parker Consulting Ltd,10000,2
En10ergy Ltd,10000,1
Coraledge Ltd,10000,1
Greenwich Winter Night Shelter,10000,4
Propitas Building & Project,10000,1
Emu Analytics Ltd,10000,1
The Strength Project CIC,10000,1
Tala Lee-turton,10000,1
Peter Eadie-catling,10000,2
London Lawn Turf Company Ltd,10000,1
Numberfit Ltd,10000,1
St Michaels Cathelic School,10000,1
EL Warcha CIC,9999.99,1
Great London Demolition Ltd,9999.75,1
Aiimi Ltd,9999.54,3
Groundswell Project,9999,2
Opny IP Ltd,9999,1
Kiwi Events,9999,2
May & Stephens Ltd,9999,3
Tripideas CIC,9997.5,1
Catalyst Brands Ltd,9995,1
Second Floor Studios & Arts,9995,1
Improvement And Development Agency For Local Governement,9995,3
Cultural Consulting,9995,2
Kayley Done,9994.85,4
Mahnaz Vafa,9992.71,3
Airtable.com/bill,9991.66,23
Freemans Solicitors,9991.5,2
Allen Overy Shearman Sterling LLP,9990,1
Clayesmore School Ltd,9990,1
Better Buildings Partnership,9990,3
DNS Accountants Ltd,9987.3,1
Compucorp Ltd,9987.08,2
Heath Farm - Family Services,9987,3
Androula Christofi,9986.76,2
Rhbnc,9984.33,6
Aderonke Adenrele Bickersteth,9984.29,3
Bees Chemist,9983.25,16
Knights Basketball Ltd,9982,2
Alisar Prospects Training CIC,9980,1
City Psychological Services,9980,5
Outdoors Thinking Ltd,9980,1
Formstack Inc,9979.85,2
Windermere 1 & 2- Southcroft Lodge,9979.76,4
Desmark Ltd,9979.65,10
345 Preschools Ltd,9979.4,6
St Andrew The Apostle School,9979.05,4
Yakira Well-being Centre,9978,3
Gerry Campbell Consultancy Ltd,9977.1,2
Education And Therapeutic Spaces Ltd,9975,12
EJT Environmental Services,9975,14
Oaklin Consulting LLP,9975,1
Cambridge Lnformation Ltd,9975,2
Verypc Ltd,9974.28,3
Hotel Carlton Cannes PBL,9974.09,3
Bluebird Pictures Ltd,9974,1
Questors Theatre,9973.87,1
Lorraine Culverhouse,9973.76,9
Badu Sports Ltd,9973.67,4
Compass Career Opportunities Limite,9970,3
ALG Social Work Ltd,9967.84,6
Dolittle Events,9967,3
Richmond Accou,9961.2,2
B & K Estates,9960.74,2
Clarke & Co. Ltd,9960.4,1
William Beard Wood Craft Ltd,9960,3
UA In UK Community Ltd,9960,2
First Touch Sport,9960,7
Irvine-clark Ltd,9960,1
Cognassist UK Ltd,9960,1
Crendon Timber Engineering,9957.92,2
Mount Grace School,9957.63,4
Starapple Day Care And Homeschooling,9957,4
Luventertainment Ltd,9955.75,3
Sopra Steria Ltd,9954.83,16
Sastr Ltd,9950.51,3
Capella Associates Ltd,9950,1
MLB Learning Solutions Ltd,9950,1
Travel Class Ltd,9950,4
Inform Communications Plc,9950,1
3sixtymeasurement Ltd,9950,2
Nasen,9950,2
The Teen Project,9950,2
GI Tech Services Ltd,9950,2
Sensory Direct Ltd,9949.38,7
Mr Mazin Jamil,9948.77,3
Paul Walugembe-ndawula,9946.95,3
Aviva Investment Solutions,9946.33,1
RON Smith Recycling Ltd,9944.04,11
OCN Contract,9944,9
Pink Diamond Catering,9943,4
Walthamstow Hall,9942,2
Slinky Productions Ltd,9940.62,3
Taking Shape Association,9940,13
Electriserve Ltd,9940,4
GB Facility Management,9940,5
BW Legal,9938.08,6
Havering Pension Fund,9936.63,1
Dadihiye Somali Development Organis,9935,4
Devise Structural Engineers Ltd,9933.33,4
Sonic Communications International Ltd,9933.25,5
Core Lettings Ltd,9929.29,1
Dvact-pai Assesments & Interventions - Fast Track,9929,4
Ms Mona Abdi,9926.02,3
Micro Computer Consultants Ltd,9926,2
Crawford & Co Adjusters Ltd,9925,2
Later Life Training Ltd,9925,1
Lady Margaret Primary School,9924.47,7
Elijah Grant Films,9921.51,6
NSS V Ltd,9921.42,1
DEB Wipfler Consultancy,9920,21
Partners In Creation Ltd,9920,2
A And R Porter Ltd,9920,3
Flogas Britain UK,9914.34,11
Precision Solicitors Client Account,9914.19,2
Jayne Yilmaz,9914,2
England Athletics Ltd,9913.33,4
Gallagher European Risk Servic,9910.26,4
Alice Mallorie Therapy Service,9910,21
Appian Trading Ltd,9910,2
Culligan Water Ltd,9909.06,4
The Defib PAD Is Part Of,9907.95,5
Searches UK Ltd,9907.88,19
Community Building Management,9904.7,3
Tutors United,9904,4
Fortem Information Technology Ltd,9904,4
Arthur Georgiou,9900.54,3
S.a.m.e. Academy Ltd,9900,1
CSGB CIC,9900,9
Taous R Dahmani,9900,5
Konflux Theatre In Education,9900,2
Exacto Flooring Ltd,9900,6
Hays Recruitment,9900,1
Cuckoo Lane Practice,9900,7
Creative Bridge Ltd,9900,2
Global Growth Partners UK Ltd,9900,1
Alan Sullivan Consultancy Services Ltd,9900,1
Polln Ltd,9900,2
Gledsdale Associates Ltd,9900,3
Bang Edutainment Ltd,9900,1
Lend Lease Consulting Ltd,9900,4
Pro:public,9900,1
KJ Bownes & Sons,9900,2
Systems And Networks Ltd,9900,2
Lime Edge Design Ltd,9900,8
The London Parks And Green,9900,2
Peter Kay,9900,3
Pedder & Scampton Architects,9900,4
BRYN Jones Associates Ltd,9900,1
Education Governance Solutions Ltd,9900,6
Comms Creatives Ltd,9899.1,1
Donrone Properties Ltd,9897.64,1
Northamptonshire County Council,9897.17,4
East Barnet Health Centre,9895,9
103 Petherton Road Ltd,9894.11,1
R & S UK Property Services Ltd,9891.67,2
Brinkley's Estate Agent,9890.14,11
Heritage Trees Ltd,9890,1
Homes Of Heaven Ltd,9890,1
Mergexr Studio Ltd,9888.45,1
Rosebond Services Ltd,9888,10
Total Mobile Ireland Ltd,9887.04,4
Scene & Heard,9886.64,2
Olives Solicitors Ltd,9885.8,3
Dunlop & Company,9885.09,2
Casablanca Marquees And Catering,9883.29,8
GAO Ltd,9881.44,4
Clemency Rittner Soft Furnishings L,9880,1
Printex Finishing Services Ltd,9880,4
Fairbeats Music,9879,1
Families For Children Ltd,9876.93,3
Barnard Marcus Feltham,9876,1
TMR Marine TMR Marine,9875.61,7
Emma Alexander,9875.45,3
Mark Hatter Associates Ltd,9874.22,4
Spacekraft Ltd,9873.95,1
MGF Trench Construction,9873,1
St Martin In The Fields High School For Girls,9871.88,2
Starks Field Primary School,9871.29,2
Ben Jonson Primary School,9870,1
Mountain Way Pictures Ltd,9870,6
AFC Wimbledon Ltd,9868.75,3
Shirleyanne Sethi,9868.56,3
ASK Letting Ltd,9867.53,3
AV Leisure Ltd,9867.18,7
Sir William Burrough Primary School,9866,1
4 Mech Ltd,9865,2
Miss Raminder Khasriya,9865,11
Aquajoy Ltd,9864,13
Rosedale Nursery Ltd,9863.41,2
Mr Riccardo Calzavara,9862.5,3
Titanium Advisors Ltd,9862.2,4
CM Print,9862,8
Traffic Survey Partners UK Ltd,9860,2
SK Ltd,9859.83,1
Generations Multiacademy Trust,9857.96,1
Battersea Contracts,9857.5,2
Pins,9855.45,3
Virtue Technologies Ltd,9854,1
Guild Architectural Restoration Ltd,9853.5,1
Century Healthcare- New Thursby,9851.74,2
Salt Future 3 Ltd,9851.16,2
Wembey Football,9850,1
Carter Rose Property Group Ltd,9850,2
Media Law Services Ltd,9850,4
Conveya Services Ltd,9850,1
Mark Allan,9850,8
Dkuk Projects Ltd,9850,1
Maria Hopayian,9847.24,3
Paradise Cooperative,9845,1
Community Drug Alcohol Recovery Service,9844,1
Pointe Black Ltd,9843,4
The National Trust,9842.84,5
Aquatronic Group Management Plc,9841.92,12
Crisp QI Ltd,9840,1
CS Planarch Ltd,9840,1
Level Peaks Associates Ltd,9839.44,1
Everflow Ltd,9839.21,2
Kinship Carers Hub CIC,9837,6
Decathlon UK Ltd,9835.89,43
Sidcup Nursing & Residential Centre,9835.15,5
Zakariya Omar,9834.37,3
Storm Creative Media Ltd,9833.98,6
Sutton Housing Associ,9832.48,14
Atlas English Ltd,9832,8
Skyhigh,9830,3
Shaun Wallace I ARC Of Triumph,9830,1
Athena House,9828.48,4
Lifecare Centre Ltd,9825,1
Gearies Primary School,9821.54,1
Joanna Turnerbaseless Fabric,9820,1
Dahlia Healthcare Services Ltd,9814.5,4
Grantley Properties Ltd,9814.13,3
Bickley Primary School,9814,4
Mr Nazmul Choudhury,9811.08,2
Dhaga,9810,3
Riverhouse Montessori Nursery,9810,1
Kids Project Management Services,9809.29,1
SER Costs Solutions,9808.33,5
Nippers Nursery Yorkshire Ltd,9806.1,3
Finding Rhythms,9805.6,3
Park RD Domiciliary Care Agency Kent And Sussex,9805.52,2
Tessa Harvey,9803.55,2
The Milverton Estates Group Ltd,9803.25,9
Buckinghamshire Council Receipts,9803,1
Ruejay Ltd,9800,2
LNHD Ltd,9800,6
CSM Exchange,9800,1
Mr ABU Papan,9800,3
Bangladeshi Mental Health Forum,9800,2
World Of Events Ltd,9800,1
Long Lane JFC Ltd,9800,2
Purrmetrix Ltd,9800,1
Brent Chinese Association,9800,1
The Transportation Consultancy,9800,3
Newman Training & Consultancy Ltd,9800,3
East Homes Estates,9800,2
Hazelbury Primary School/elt,9799.97,2
Islip Manor Medical Centre,9799.6,7
Manor Farm Experiences Ltd,9797.5,6
St. Mary's Catholic Infant School,9797.32,3
Uared Space Ltd,9797,1
L C Murphy,9797,1
Erol Halilaj,9796.71,4
MJ Properties London Ltd,9796.44,2
Oluwadamilola Olarinmoye,9795.08,2
Softhands Solutions Ltd,9795,10
AOC Participation,9792.5,6
Golden Valley Catering,9792,3
David Ward Associates Ltd,9792,2
Invotra Consulting Ltd,9792,7
Skonto Plan UK Ltd,9792,1
Dental Manufacturing Centre Ltd,9790,2
National Aids Trust,9787.5,4
Access Training Wales Ltd,9785,2
More House School-surrey,9782.75,5
Black British Book Festival Ltd,9781.67,1
Sister2sisterbu,9780.48,2
Guerrini Mrs H,9780,1
Alison Brooks Architects,9780,1
Harmony Supported Living Services,9780,3
Compass Collective,9779,1
Paper Escape Ltd,9778.26,5
Mojo Promotions Ltd,9777.5,2
The Play Inspector Ltd,9777,3
SW Property Management Ltd,9776.91,5
The Practice @ 188,9775,5
Michael Barclay Partnership LLP,9775,3
Herts Heritage Ltd,9774.07,1
Key Tracker Ltd,9773.63,4
Acton Care Centre,9772.72,1
Greenbarnes Ltd,9772.2,6
Jordans Solcitors,9771.4,2
Fuel Productions Ltd,9770.91,4
Maltings Locksmiths Ltd,9770.2,62
Lightning Strike,9770,4
Victoria Kiver,9770,12
Unbound Moving Arts CIC,9770,1
Forcia Ltd,9768.02,2
Joyce Dixon,9767.29,3
Cable Tracing Services Ltd,9766.2,1
Delton Security Services Ltd,9765,19
Northleach Court Care Home Ltd,9762.85,6
Sure Start ABA Ltd,9760,9
Onthebeat Ltd,9760,3
DCC Of St Luke Chelsea Parish CH,9759,3
Heritage Community Crafts CIC,9759,8
St Matthias Church Of England Primary SC,9755.79,6
Vicki Peirson,9754.8,2
Bartos Kostrycki,9754.68,3
SAS Positive Activities Ltd,9751,4
Moneycircuit Ltd,9750.01,4
Redden Court School,9750,8
Reynolds Pampa Ltd,9750,1
The Garden Furniture Centre Ltd,9750,3
Benson Legal Services Ltd,9750,7
SV Acoustics Ltd,9750,1
Saltegy Ltd,9750,1
Womens Environmental Network Trust,9750,2
Michael Murphy Associates Ltd,9750,2
Devall Law,9750,1
Chartered IIA,9750,1
Footpath Films Ltd,9750,4
Shibly Begum,9750,8
Globe Scaffolding Ltd,9750,4
Streamlined Forsensic Reporting Ltd,9748.5,6
Alcumus Isoqar Ltd,9747,4
Ecoonline Sypol Ltd,9745,2
Pagewood- Peak 15 Ltd,9744.88,2
Golfrate Property Management Ltd,9744,8
Kidzplay Afterschool,9744,1
Telamon Software Ltd,9742.5,6
The Flooring Co UK Ltd,9739.03,2
GPS Lettings Ltd,9738.46,4
Cultivate Inclusion,9736.43,2
POD General Client Account,9735.68,4
King Adaptions Ltd,9735,1
Globalsign,9734.4,14
Promogroup Ltd,9730,10
Chadwell Heath Baptist Church,9729,8
Bromley College Of F & H Education,9727.47,1
Towers Federation -towers Infant School,9726.32,5
PPSS Ltd,9726.12,7
Chinese Association Of Tower Hamlets,9724.76,13
Assoc. Of Directors Of Child. Serv.ltd,9724,4
Toto Ndogo Ltd,9723.43,6
Allenby Coach Hire Ltd,9721,10
Barmat Health Care Ltd,9720,1
Sevco Ltd,9717.52,7
BES Commercial Electricity Ltd,9717.22,6
Mpirriecal Safety And Training Ltd,9714.9,2
Preston Community Library,9714.67,1
Dalmar Heritage And Family Developm,9713,5
Optivo Rent Account,9711.67,9
Radnes Services Ltd,9709.48,13
Roberts Audio Solutions Ltd,9709.2,1
Toklas Ltd,9709.07,3
Hello Mundo,9707.4,5
Mitcham Arts Collective,9705.5,10
Patrick Bangura,9705.44,3
Zirkon Ltd,9705,2
Beacon Law Solicitors,9705,1
Farm Street Inns Ltd,9704.11,1
London Borough Hammersmith & Fulham,9702.29,4
Cennox Signage & Construction Ltd,9701,6
Sun Hill Surveying & Engineering Ltd,9700,1
Kaalee Training CIC,9700,1
Track Academy,9700,1
Build Test Solutions Ltd,9700,5
Get Your Business Started Ltd,9700,1
Joseph & Susanna Prempeh,9696.69,2
Raymond Burr,9696,2
Ms Ulele Burnham,9696,7
Tchinossele Samakuva De Jesus,9694.49,3
Theraposture Ltd,9692,5
Property Letting Furniture Solutions Ltd,9691.9,7
Crowthers Consultants Ltd,9690.9,1
White & Browns Property Management Ltd,9690,1
Real Group UK Ltd,9689.1,71
Pearl Chemist TA Wandspharmacy,9682.88,8
Trinity Care At Home Ltd,9682.46,7
Pamela Lawrence,9680.45,3
Make The Transiti0n 24 Ltd,9680,4
Digicert Inc,9679.51,22
Integritest Ltd,9678,1
Solid Access Scaffolding Ltd,9675,1
TRI Fire Ltd,9675,2
ATD Structures Ltd,9674.69,10
ANN Arbor Publishers Ltd,9670.7,9
Jenpro Gwer Ltd,9668.93,15
KKPR Ltd,9668.07,20
Jackie Flaherty & Kirstin Hughes,9667.58,13
Mrs Cevher Meyzin,9667.58,13
Onpoint Surveys Ltd,9665,3
Kairos Girls CIC,9665,1
Anne Makowski,9665,1
Missing People Ltd,9663,2
Ashmia Sesay,9662.47,9
Hanson Aggregates,9661.73,13
Little People`s Montessori Ltd,9661.46,6
Doddington Grove Residents Association,9661.16,5
Warrior Doors Ltd,9660.28,1
Znaniye Foundation,9660,2
Heritage Social Arts & Dance Group,9660,3
The Yiewsley Family Practice,9660,2
Creative Explorers Nursery,9659,6
Motion Picture Licensing Co. Ltd,9657.86,9
New Road Hotel,9657.7,33
Arch,9657.5,2
Lamington Apartments,9656.97,3
Gainford Group,9656.75,4
Help Handz CIC,9656.6,20
Mrs Hamida Mahamuod,9655.23,3
Castlekemp Ltd,9654.5,8
Lunar Landscaping Ltd,9652.2,10
Broadwater Sailing Club,9652,6
Sharick Eamon Reyaz,9650.28,6
Photojournalism Hub,9650,3
Lane End Medical Group,9650,5
Fish Insurance,9649.23,2
Everylife Technologies Ltd,9649.2,2
Acorns2oaks Ltd,9649.1,10
Judds Pharma Ltd,9648.8,19
Faika Salih,9647.04,3
Godalming Carpets Ltd,9646.86,4
Snellers Twickenham,9646.15,1
Macasade Property Lettings Ltd,9643.83,8
Queenswood Engagement And Strategy Ltd,9642.09,2
Build Recruitment Ltd,9640,2
DH Psychology Ltd,9637.9,6
Southwark Cathedral Enterprises Ltd,9636.75,7
R Jackson Marine Services Ltd,9636,6
Thompsons No 1 Office Account,9633.1,1
Keturah Brown,9632.61,3
Guarda Ltd,9632.5,4
Domino S Pizza,9631.84,147
Notting Hill Housing Group,9631.15,5
LBB New Park House Imprest,9629.48,56
Andrew Howard Scaffolding Ltd,9628.6,5
Whizz Mobility CIC,9628.33,4
Forensic Psychology Practice Ltd,9625.92,5
Dilruma Begum,9625,2
Chess ICT,9625,4
Intersect Surveys Ltd,9625,1
Smart Bags Ltd,9625,2
Emmanuel Meade,9624.94,3
Grays Farm Primary School,9624,5
Association Of YOT Managers Ltd,9623,12
Morina Property Ltd,9622.69,10
Drop Shot Uash Academy,9622.5,4
Merridale Ltd,9621.95,10
Cerberus Systems Ltd,9621.9,1
LUS Production Ltd,9620.56,1
Mount Green Housing Associatio,9618.56,13
Thatnetwork,9617.84,4
Aurora Futures,9615.9,4
Symbol UK Ltd,9613.65,14
Hasna Khanom,9613.05,10
Inspirallondon CIC,9611.8,2
Colette Servey,9609.6,8
CED Stone Ltd,9609.49,4
Gelany Samater,9608.82,3
GWS Bodyshop Ltd,9607.74,5
Wimbledon Village Surgery,9605.66,9
London International Animation Festival,9602.69,16
Fs.com Innovation Ltd,9601.42,3
Lbhgeo Ltd,9600,2
Linden Grove Roas - Mhild Ltd,9600,2
Wagestream Ltd,9600,2
Charrison Davis,9600,1
Integration Consultancy Ltd,9600,2
Park Avenue Care Home,9600,2
Local & Network Cars,9600,6
Regional,9600,1
Emily Stratford,9600,2
Construction Measure Ltd,9600,2
Rapid Data Systems Ltd,9600,5
Berwick Partners TN Of IRG AD,9600,1
2econd Chance CIC,9600,1
Sports Ground Development Ltd,9600,3
SPM Group Ltd,9600,1
The Everglade Medical Practice,9598.86,6
Aldgate Solar Power Ltd,9594.16,9
The Blueprint Formation Ltd,9594,4
JG Pest Control,9591.65,3
True Solicitors Client Account,9590,2
R And A Flooring,9590,3
Independent Children Social Work Services Ltd,9586.27,5
KDS Appliances Ltd,9586.11,15
Secure OPS Events Ltd,9586.08,1
NHBS Ltd,9585.98,11
Southern Coast Care,9585.71,2
CCR Manufacturing Ltd,9581,2
Aniko Haniffa,9580.2,4
LBL RE Rangefield School,9580,2
Atmos Data Services,9576.14,5
Carapax Ltd,9575,2
Triple A Consult Ltd,9575,1
Woodlands Solicitors Ltd,9575,1
Rise Technical Recruitment Ltd,9573.2,1
Onsite Central Ltd,9572,4
Constant & Co Ltd,9571.85,1
Evans Vanodineinternational Plc,9570.96,5
Marcosolo Training,9570,15
Child And Family Training Ltd,9570,3
Warburton And Darcy Tenants Association,9569.17,8
Minster Care Group Ltd,9568.52,3
Kindness Club,9568,6
Civil Service College Ltd,9565,7
Ms Mavis Granston,9564.62,3
Mohamed Rage,9563.19,3
Melchisedek Nabasem,9563.16,5
Asbac Lighting Ltd,9562.5,2
Vantage Residential Ltd,9562.5,2
HMRC Etmp,9562.4,8
Aquajet Cleaning Equipment Ltd,9562.11,13
Municipal Multual Insurance,9561.84,1
Bisla Estates Ltd,9561.1,4
Bond Docwra Capital Ltd,9560.9,8
D & R Drain Services Ltd,9560,10
Woodlands Estate,9558.84,12
PES Group Ltd,9558.75,11
Arhag Housing Asso,9556.29,5
Jdonoghue Structural Design Ltd,9555,8
Cordell & Co Solicitors Client Account,9554,1
Upkeep Training Ltd,9554,9
1st Central Insurance,9553.26,5
Compco Fire Systems Ltd,9553,17
Viking Arms Ltd,9552,2
Higham Marquees,9551,2
Lets Get On With IT Ltd,9550,1
Xact Consultancy And Training Ltd,9550,4
Gujarati Arya Association London,9550,2
Keatons Estate Agents,9550,1
Artburst Ltd,9550,9
Soil Consultants Ltd,9550,3
Guides For Brides Ltd,9550,11
The British Land,9549.63,2
Adapta Consulting LLP,9546.43,8
Matthew Turner,9546.24,7
Highlights Floodlighting Ltd,9545.84,8
Joy Akissa,9545.74,2
Michelle Webb,9545.74,2
Samiul Islam,9545.74,2
Alfred Hage,9545.74,2
Shore Property Services,9545,2
Make A Difference At Sandies,9540,1
Avocet Court - Athena Care Homes Ltd,9538.28,1
London Bike Hub,9536.2,12
Complete Doorset Solutions INS,9534,1
Twickenham Property Ground,9532.76,1
Temple Garden Chambers Ltd,9531,2
Netdzine Ltd,9531,2
LED LOW Energy Design Ltd,9531,3
Healthcare Direct Ltd,9530,17
Brent Mencap Ltd,9530,1
Yewbank,9529.6,2
Votesforschools,9526.3,1
Louise Doorgachurn,9525.96,2
