supplier_clean,amount,rowcount
Ambitious About Autism School Trust,27180329.83,761
Witherslack Group Ltd,27020559.62,919
Rutlish School,26968006.93,31
Capita Plc & Business Services Ltd,26844633.41,350
TBG Mosaic,26739854.85,12662
Education Support Ltd,26717957.77,109
Hackney & Kent Commercial Services LLP,26655053.7,8
Post Office,26619062.03,1605
Atalian Servest,26342226.4,419
Langdon Park School,26302072.28,167
Vital Energi Utilities Ltd,26265724.92,621
Borras Construction Ltd,26252936.35,295
Pertemps Recruitment Partnership Ltd,26029172.08,358
TFL Surface Transport/ London Underground,26007640.06,455
Croydon & Lewisham Lighting Services Ltd,25989102.51,26
Kier Services Ltd,25938437.12,262
Orchard Primary School,25920507.91,230
Krinkels UK Ltd,25910035.65,159
New Wave Federation,25801874.56,164
Shaw Trust Ltd,25784819.19,628
PFL Electrical Ltd,25782435.32,1651
Support For Living,25657773.59,3622
London Borough Of Islington,25648407.84,804
Mulalley & Company Ltd,25548435.7,144
Raynes Park Secondary School,25532889.05,37
Wates,25479190.34,137109
Royal Mail,25471200.89,8359
Personal Data - Name Redacted,25327324.04,11875
Housing Action Management Ltd,25312153.23,3574
The St Thomas The Apostle College,25285227.27,167
AON UK Ltd,25245857.86,138
Kenson Contractors Benington Ltd,25225825.52,5888
Glenman Corporation Ltd,25189697.25,96
Trustmarque Solutions Ltd,24911047.69,565
Diagrama Healthcare Services Ltd,24854803.08,296
Ameresco Ltd,24853226.99,150
Aston Pearl Ltd,24848388.51,364
The Riverside Group Ltd,24814242.76,1492
Chosen Care Group Ltd,24773333.41,25811
Cory Environmental Ltd,24674512.48,304
Gerda Security Products Ltd,24610561.11,901
Willmott Dixon Holdings Ltd,24582752.53,50
Cenergist Ltd,24349897.7,161
ISS Mediclean Ltd,24229256.46,734
Swan Housing Group,24170591.58,31
Unique Personnel Ltd,24135735.33,10720
Camden BSF SPV Ltd,24106435.12,236
Hmrc-pensions,24083036.29,60
Valentines High School Payroll AC,24070000,36
OYO Technology & Hospitality L,23993439.35,321
Barchester Health Care Ltd,23917976.54,6471
Transitional Care Ltd,23881149.47,593
Wimbledon College School,23785776.8,30
Caretech Community Services Ltd,23782302.58,3859
Gold Care Homes Ltd,23763225.55,6497
Hc-one Ltd,23686466.51,3431
London Borough Of Lambeth,23651925.01,301
Murrill Construction Ltd,23555990.55,899
Orchard Hill College,23550473.91,1609
Westminster Community Homes Ltd,23525847.36,314
NSL Services Group Ltd,23402614.5,190
Cognus Ltd,23246216.63,1178
Regenter Myatts Field North Ltd,23077901.85,24
St Philomena's School,23011182.24,181
Masher Brothers Ltd,22973488.62,1097
All Saints Catholic School And Technolog,22928815.35,124
Bondcare Ltd,22824605.85,4894
NHS South West London,22723542.99,215
LA Retraite RC Girls' School,22708992.47,32
Etec Contract Services Ltd,22516631.54,189
Seafort Ealing Ltd,22509350.16,128
Busy Bees Nurseries Ltd,22215830.96,1538
Addleshaw Goddard LLP,22105048.39,11
Academy Services,22085915.15,72
TBG Open Door Ltd,22051215.06,453
Bishop Thomas Grant School,22033737.18,39
Apasenth,21904848.31,3076
Caterlink Ltd,21874583.6,317
St Augustines CE High School,21866890.08,146
GLA,21820874.38,7
Citizens Advice,21798291.79,415
The Whittington Hospital NHS Trust,21787659.86,686
Ringway Infrastructure Services Ltd,21728064.65,835
Travelodge,21658946.84,5993
Oaklands School,21577235.41,165
New City College,21501535.64,224
LB Camden,21462099.16,29
Jewish Care,21430134.97,6694
Affinity Water Ltd,21369113.07,398
Harlington Community School,21332709.74,158
Newham Learning Partnership Ltd,21214804.81,226
Alexander James Contracts Ltd,21174594.68,120
Sherwood Park School,21002408.65,269
West London NHS Trust,20993852.64,126
Voyage Ltd,20952886.57,4114
Reds10 Ltd,20942031.01,34
Architectural Decorators Ltd,20828348.31,347
Lee Valley Regional Park Authority,20771735.19,591
Travis Perkins,20762252.14,15752
Selchp,20756374.2,26
Family Fund Trading Ltd,20670067.4,303
Stef & Phillips Ltd,20664857.25,1045
St John Bosco College,20616162.92,75
Remax Ltd,20568435.82,2542
Dagenham New Homes Ltd,20537221.59,15
Aura Assets Managements Ltd,20507784.95,1443
Bloom Procurement Services Ltd,20466983.37,650
Matrix-scm Ltd,20458409.69,113
Apcoa Parking UK Ltd,20350547.81,399
London East Alternative Provision,20288661,166
Kind & Company Ltd,20273192.96,89
Greyline Builders Ltd,20075644.13,300
Project Centre,20068027.46,2022
Bellrock Property & Facilities MAN,19994206.37,127
Lewisham Schools For The Future SPV 4 Ltd,19879154.41,35
Ormiston Academies Trust,19879031.72,323
Insight Direct Ltd,19852593.04,920
Peabody Trust,19795492.8,1341
Silver Birch Care Ltd,19791836.5,3587
Nomase Care Ltd,19789257.72,4036
Bupa Care Services Ltd,19761138.57,3207
Herts Heritage Building & Roofing Ltd,19687398.83,1510
Diversity Health & Social Care Ltd,19578545.74,13974
Kent CCL A S E R**,19548266.35,58
Astrum Multi Academy Trust,19513171.03,300
Perseid School,19469155.59,54
Barrie Bookkeeping & Payroll Solutions Ltd,19381571.42,10343
Cavendish Construction Ltd,19299263.5,3041
Lampton Recycle 360 Ltd,19277821.81,131
Oxleas NHS Foundation Trust,19164522.47,403
Care Solution Bureau,19098365.98,377
London Hire Community Services Ltd,19072014.27,727
London North West University Healthcare NHS Trust,19045245.5,403
VIA Care Ltd,19025249.44,139
Regenter Management Services Ltd,18972609.53,26
Glendale Countryside Ltd,18959130,686
NRS Healthcare,18886087.44,84
The Urswick School,18833503,101
Hartwig Care Ltd,18818816.05,9837
SER Contractor Ltd,18605438.91,2203
Leap Federation,18579568.93,185
Jubilee Primary School & Childrens Centre,18409471.37,250
All Saints Catholic College,18387326.67,161
Finefair Consultancy Ltd,18326131.08,3118
Avenues Management Services Ltd,18296249.52,1068
Outward Housing,18290229.1,3737
DCK Construction Ltd,18275562.29,257
Oak Wood School,18233643.25,141
Wentworth Housing Ltd,18150488.13,481
The Beckmead Trust,18072677.09,415
TLT Solicitors,18059550.4,290
Atlas FM Ltd,18052680.82,313
Standage & Co Ltd,17960752.71,249
London Borough Of Camden,17948143.36,477
St Marys And St Johns CE School,17940391.53,213
The Garden,17851538.3,101
Alliance Leisure Services Ltd,17801787.79,115
Residential Management Group Ltd,17763351.94,365
Softcat Plc,17732874.87,620
A J Bush Ltd,17716085.41,46
Be First Ltd,17493221.61,755
MMCG 2 Ltd,17312422.12,262
The John Fisher School,17296274.5,152
Abel Living Ltd,17271413.9,207
CIS Security Ltd,17133159.31,1164
Breyer Group Plc,17075387.83,9205
Cricket Green School,17024931.67,50
Allpay Ltd,16984297.59,2180
Ensigna Construction Ltd,16961623.53,303
Trowers & Hamlins LLP,16950080.24,742
MMCG Ltd,16934820.62,4122
Thames Reach,16925027.57,382
Longley Group Ltd,16883623.03,343
Hampshire County Council,16878381.23,238
Meadow High School London Borough Of Hillingdon,16849960.52,109
MPD FM Ltd,16833931.27,2221
Redbridge Civic Services Ltd,16794378.96,25
Manor Infants School,16765250.32,175
Marston Ltd,16746174.31,281
Malmesbury Primary School,16726561.81,208
Financial Data Management Plc,16667587.72,2545
Ingeus UK Ltd,16596078.15,185
Turning Point,16538609.79,129
Gristwood & Toms Ltd,16473620.42,1244
New West End Company,16458926.31,40
DMP Healthcare Ltd,16411649.49,4419
South East London Combined Heat & Power Ltd,16409486.83,31
Kisimul Group Ltd,16320797.99,912
St Michael's Catholic Grammar School,16275360.34,216
Thames Partnership For Learning Ltd,16274441.1,99
Whittington Hospital NHS Trust,16245627.64,61
Barts Health NHS Trust,16207654.27,612
Places For People Group Ltd,16199156.32,92
XMA Ltd,16153949.51,858
Shaw Healthcare Ltd,16084343.51,211
DH Tower Hamlets,16074483.81,8821
Cory Environmental Management Ltd,16028590,4
AON Ltd,16002340.94,20
Bramley Health Ltd,15994989.78,1673
National Fostering Agency,15965825.44,4813
Investors In The Community,15940538.7,119
By Education Barking Ltd,15938002.97,39
Arthur J. Gallagher Insurance Brokers Ltd,15933550.99,18
Inclusive Care Support Ltd,15900822.08,5284
Thames Homecare Services Ltd,15876738.56,39201
Integrated Services Programme,15875220.79,3472
DRC Greyline Group Ltd,15787020.9,421
Housing 21,15714196.25,1931
Southside Partnership Ltd,15711032.83,3680
Marston Group Ltd,15705122.79,201
Essex& Suffolk Water,15667883.57,51
Ripple Primary School,15641956.57,187
Midos Estates Ltd,15634984.05,9368
Cranbrook Primary School Account 2,15628719.16,37
West King Street Renewal LLP,15595741.3,64
Bromley Healthcare CIC,15579198.19,58
RGE Services Ltd,15558863.32,1346
St Saviours & St Olaves School,15452878.91,180
Roding Primary School,15423193.67,172
Apex Housing Solutions Ltd,15313127.65,1495
Oakray Ltd,15293070,2293
Blossom House School Ltd,15284603.31,732
Edenred Ltd,15277378.03,207
Ozumba Training & Consult. Services Ltd,15206297.98,756
TSG Building Services Plc,15168409.34,2581
Arthur J Gallagher Ltd,15142011,91
Christ's School,15131794.18,62
ARC Group London Ltd,15065668.67,1377
Ickburgh School,15050049.34,195
Smith,14904442.98,221
Buxton Building Contractors Ltd,14871253.75,80
Jerram Falkus Construction Ltd,14844794.12,48
Pinnacle PSG Ltd,14798240.33,99
Castle Point Gas & Heating Co Ltd,14772521.76,3659
Metropolitan Housing Trust Ltd,14721366.79,1890
James Sanderson TAS Caremark Bromley,14675275.54,1063
Stepney Park Primary School,14665406.55,167
Wolseley UK Ltd,14655872.73,1003
